,sqft_living,floors,waterfront,viewed_by_buyer,condition,yr_built
130,1060,1,0.0,0.0,4,1986
131,2010,1,0.0,0.0,3,1986
132,3950,1,0.0,0.0,3,1989
133,2010,2,0.0,0.0,3,2014
134,2140,3,0.0,0.0,3,2005
135,1320,1,0.0,0.0,4,1956
136,2020,1,0.0,0.0,3,1968
137,2590,1,0.0,0.0,4,1968
138,1190,1,0.0,0.0,3,1981
139,1170,3,0.0,0.0,3,2014
140,1110,1,0.0,0.0,3,1925
141,2820,1,0.0,0.0,4,1968
142,1610,1,0.0,0.0,4,1962
143,1060,1,0.0,0.0,4,1923
144,2030,1,0.0,0.0,4,1961
146,2550,2,0.0,0.0,3,1905
148,2260,1,0.0,0.0,4,1960
149,1430,1,0.0,0.0,3,1947
150,1360,2,0.0,0.0,3,1990
151,1110,1,0.0,0.0,3,1947
152,1250,1,0.0,0.0,4,1954
154,700,1,0.0,0.0,3,1942
155,1180,1,0.0,0.0,4,1967
156,3960,2,0.0,0.0,3,1996
157,2640,1,0.0,0.0,3,1967
158,1270,1,0.0,0.0,3,1916
159,1760,1,0.0,0.0,4,1968
160,2060,1,0.0,0.0,3,1962
161,1780,1,0.0,0.0,3,1962
162,3400,2,0.0,0.0,3,2000
163,1910,1,0.0,0.0,3,1979
164,2020,1,0.0,0.0,4,1975
165,1580,1,0.0,0.0,3,1976
166,1340,1,0.0,0.0,5,1949
167,2680,2,0.0,0.0,3,1999
168,2680,1,0.0,0.0,4,1979
169,1370,1,0.0,0.0,5,1964
170,1560,1,0.0,0.0,3,1954
171,2160,1,0.0,0.0,4,1978
172,1340,1,0.0,0.0,3,1955
173,3880,2,0.0,0.0,3,1984
174,2590,2,0.0,0.0,4,1980
175,1120,2,0.0,0.0,3,2008
176,1970,1,0.0,0.0,3,1986
177,1220,1,0.0,0.0,3,1901
179,1350,1,0.0,0.0,3,1949
180,1670,2,0.0,0.0,3,1988
181,2380,1,0.0,0.0,4,1925
182,2440,2,0.0,0.0,5,1961
183,1050,2,0.0,0.0,3,1996
184,3130,2,0.0,0.0,3,1993
186,1490,1,0.0,0.0,4,1969
187,1900,2,0.0,0.0,3,1987
188,1330,1,0.0,0.0,4,1901
189,2230,1,0.0,0.0,3,1975
190,1650,1,0.0,0.0,3,1977
191,1190,1,0.0,0.0,3,1959
192,2140,1,0.0,0.0,4,1959
193,2180,1,0.0,0.0,4,1962
194,1060,1,0.0,0.0,3,1948
195,1690,2,0.0,0.0,3,2003
196,1970,1,0.0,0.0,5,1920
197,2150,2,0.0,0.0,3,2007
198,1910,2,0.0,0.0,3,1997
200,860,1,0.0,0.0,4,1943
201,1940,2,0.0,0.0,3,1994
202,1010,1,0.0,0.0,3,1952
203,1300,1,0.0,0.0,4,1976
204,910,1,0.0,0.0,4,1962
205,2480,1,0.0,0.0,4,1966
206,2440,2,0.0,0.0,3,2010
207,1010,1,0.0,0.0,3,1915
208,900,1,0.0,0.0,3,1941
209,2300,2,0.0,0.0,3,1920
210,1550,2,0.0,0.0,3,1993
211,1270,2,0.0,0.0,3,2014
212,2240,1,0.0,0.0,3,1983
213,2714,2,0.0,0.0,3,2005
214,1720,2,0.0,0.0,3,1978
215,850,1,0.0,0.0,3,1923
217,2250,2,0.0,0.0,3,2000
219,1320,1,0.0,0.0,4,1947
220,2760,2,0.0,0.0,3,1999
221,1750,1,0.0,0.0,3,1961
222,2330,2,0.0,0.0,3,1987
223,2220,1,0.0,0.0,4,1966
224,2020,2,0.0,0.0,3,1994
225,1250,1,0.0,0.0,5,1942
226,1510,1,0.0,0.0,3,2005
227,1720,1,0.0,0.0,4,1978
228,1430,1,0.0,0.0,4,1961
229,1480,2,0.0,0.0,3,2004
231,2280,1,0.0,0.0,5,1960
232,2940,1,0.0,0.0,3,1978
233,1000,1,0.0,0.0,3,1961
234,2480,1,0.0,0.0,5,1947
235,3760,2,0.0,0.0,3,1983
236,2220,1,0.0,0.0,5,1976
237,1970,1,0.0,0.0,3,1904
240,1430,1,0.0,0.0,4,1968
241,830,1,0.0,0.0,3,1940
242,1430,1,0.0,0.0,2,1925
243,1300,1,0.0,0.0,4,1954
245,2740,2,0.0,0.0,3,1990
247,720,1,0.0,0.0,3,1954
248,2010,1,0.0,0.0,4,1976
249,1560,1,0.0,0.0,4,1918
250,1810,1,0.0,0.0,4,1978
251,3360,2,0.0,0.0,3,2001
253,1400,1,0.0,0.0,3,1953
254,1730,2,0.0,0.0,3,1987
256,2360,1,0.0,0.0,4,1955
257,1580,1,0.0,0.0,4,1974
259,2460,2,0.0,0.0,3,2006
260,1660,1,0.0,0.0,3,1911
261,1270,1,0.0,0.0,4,1960
262,2100,2,0.0,0.0,3,1979
263,770,1,0.0,0.0,3,1930
265,1700,2,0.0,0.0,4,1988
266,1120,1,0.0,0.0,3,1954
267,1070,1,0.0,0.0,3,1937
268,2070,1,0.0,0.0,3,1979
271,1040,1,0.0,0.0,4,1939
272,1700,1,0.0,0.0,4,1967
273,1300,1,0.0,0.0,3,1961
274,1080,1,0.0,0.0,3,1954
275,2653,2,0.0,0.0,3,2006
276,2290,1,0.0,0.0,5,1960
277,3820,2,0.0,0.0,3,2014
278,2210,1,0.0,0.0,3,1997
279,2390,1,0.0,0.0,3,1908
280,2600,1,0.0,0.0,4,1969
281,860,1,0.0,0.0,3,1931
283,3500,2,0.0,0.0,3,2005
284,2420,1,0.0,0.0,4,1988
285,2720,2,0.0,0.0,3,1992
286,2500,1,0.0,0.0,3,1979
287,1670,1,0.0,0.0,3,1980
288,2900,1,0.0,0.0,3,1985
289,1640,1,0.0,0.0,4,1954
290,1890,2,0.0,0.0,4,1968
292,2160,2,0.0,0.0,3,1992
293,3280,2,0.0,0.0,3,1986
295,3360,2,0.0,0.0,3,1994
296,1320,1,0.0,0.0,3,1993
297,2650,2,0.0,0.0,3,1990
298,2030,1,0.0,0.0,3,1963
301,2440,2,0.0,0.0,3,1998
302,1940,1,0.0,0.0,4,1948
303,2040,2,0.0,0.0,3,2006
304,2200,1,0.0,0.0,4,1964
305,1920,1,0.0,0.0,4,1913
306,1800,1,0.0,0.0,4,1965
307,2180,2,0.0,0.0,3,1984
308,1010,1,0.0,0.0,4,1908
309,3320,2,0.0,0.0,5,1960
311,1660,1,0.0,0.0,3,1915
315,1950,1,0.0,0.0,3,1979
316,2590,1,0.0,0.0,5,1948
317,1930,1,0.0,0.0,4,1988
318,1470,1,0.0,0.0,4,1916
319,800,1,0.0,0.0,3,1943
320,3150,2,0.0,0.0,3,2013
321,2030,2,0.0,0.0,3,1984
322,1450,1,0.0,0.0,3,2003
323,1510,1,0.0,0.0,3,1969
324,1240,1,0.0,0.0,3,1922
325,1240,1,0.0,0.0,3,1922
326,3030,2,0.0,0.0,3,1987
327,2050,1,0.0,0.0,4,1922
328,1000,1,0.0,0.0,2,1952
329,2370,1,0.0,0.0,4,1977
330,2800,2,0.0,0.0,3,1951
331,2240,2,0.0,0.0,4,1955
333,1070,1,0.0,0.0,3,1924
334,2490,2,0.0,0.0,5,1968
335,1960,2,0.0,0.0,3,2003
336,2930,1,0.0,0.0,3,2004
337,1510,1,0.0,0.0,5,1911
338,1420,1,0.0,0.0,3,1954
339,1740,1,0.0,0.0,3,1954
340,2560,2,0.0,0.0,4,1962
341,3040,2,0.0,0.0,3,2010
342,2500,1,0.0,0.0,3,1957
343,1275,1,0.0,0.0,4,1991
344,2580,2,0.0,0.0,3,2002
345,1000,1,0.0,0.0,3,1943
346,1000,1,0.0,0.0,3,1943
347,1070,1,0.0,0.0,4,1930
348,1390,1,0.0,0.0,4,1987
349,2500,1,0.0,0.0,3,1973
351,2270,2,0.0,0.0,3,1965
352,1900,1,0.0,0.0,4,1954
354,1550,1,0.0,0.0,4,1969
355,2200,1,0.0,0.0,5,1955
356,1910,2,0.0,0.0,3,2005
357,1750,1,0.0,0.0,4,1954
358,1330,1,0.0,0.0,3,1928
360,1640,2,0.0,0.0,3,1992
361,2760,2,0.0,0.0,4,1978
362,1820,2,0.0,0.0,3,1994
363,2110,1,0.0,0.0,3,2013
366,2990,2,0.0,0.0,3,2002
367,3520,2,0.0,0.0,3,1991
368,2440,1,0.0,0.0,4,1989
369,2090,1,0.0,0.0,3,1986
370,1430,2,0.0,0.0,3,1993
371,2180,1,0.0,0.0,5,1954
372,2180,1,0.0,0.0,5,1954
373,3450,2,0.0,0.0,3,2004
374,1450,2,0.0,0.0,3,1994
375,3230,2,0.0,0.0,3,2004
376,1640,1,0.0,0.0,3,1940
377,1590,1,0.0,0.0,3,1997
378,2020,2,0.0,0.0,3,1960
379,1300,1,0.0,0.0,3,1904
381,4040,2,0.0,0.0,3,1986
382,2130,2,0.0,0.0,3,2001
383,2550,1,0.0,0.0,3,1968
385,2510,2,0.0,0.0,4,1969
386,1410,1,0.0,0.0,4,1983
387,1650,1,0.0,0.0,3,1979
388,2120,2,0.0,0.0,3,1993
389,2040,1,0.0,0.0,3,1954
390,1550,1,0.0,0.0,3,1957
391,1980,2,0.0,0.0,4,1979
392,1600,2,0.0,0.0,3,2005
393,3300,2,0.0,0.0,3,1953
394,3840,2,0.0,1.0,4,1983
395,1220,1,0.0,0.0,5,1950
396,2720,1,0.0,0.0,4,1958
398,2160,1,0.0,0.0,3,1909
399,1530,1,0.0,0.0,4,1968
400,1710,2,0.0,0.0,3,2008
401,3730,1,0.0,0.0,4,1974
402,940,1,0.0,0.0,4,1937
404,1820,2,0.0,0.0,3,1994
405,1510,2,0.0,0.0,3,2001
406,1290,3,0.0,0.0,3,2001
407,1570,1,0.0,0.0,3,1998
408,1930,2,0.0,0.0,3,1995
410,1550,2,0.0,0.0,3,1991
412,2990,2,0.0,0.0,4,1978
413,2000,2,0.0,0.0,3,1995
415,2910,1,0.0,0.0,4,1967
417,2200,1,0.0,0.0,5,1962
418,1860,2,0.0,0.0,3,2012
420,950,1,0.0,0.0,3,1941
421,1600,1,0.0,0.0,5,1955
422,2250,2,0.0,0.0,3,1988
423,2280,2,0.0,0.0,4,1985
424,940,1,0.0,0.0,3,1909
425,1530,1,0.0,0.0,5,1996
426,2190,1,0.0,0.0,4,1947
428,1440,1,0.0,0.0,3,1971
429,2200,2,0.0,0.0,3,2005
430,2290,2,0.0,0.0,3,1990
431,4040,2,0.0,0.0,3,1987
432,2610,1,0.0,0.0,5,1922
433,1490,2,0.0,0.0,3,2005
434,2450,2,0.0,0.0,3,2003
435,1710,1,0.0,0.0,3,1976
437,3130,2,0.0,0.0,3,1991
438,1270,3,0.0,0.0,3,2000
440,1670,1,0.0,0.0,5,1954
441,2070,2,0.0,0.0,3,1974
442,1420,1,0.0,0.0,3,1953
444,940,1,0.0,0.0,4,1960
445,1920,1,0.0,0.0,3,1968
446,3545,1,0.0,0.0,3,2005
447,1260,1,0.0,0.0,3,1972
448,2340,1,0.0,0.0,3,1975
449,2590,1,0.0,0.0,5,1977
451,1220,1,0.0,0.0,3,1965
452,1400,1,0.0,0.0,4,1976
453,2360,1,0.0,0.0,4,1983
454,1870,1,0.0,0.0,4,1960
455,2830,2,0.0,0.0,3,2001
456,2260,2,0.0,0.0,3,1994
459,1240,1,0.0,0.0,5,1986
460,3450,2,0.0,0.0,3,2007
461,2570,2,0.0,0.0,4,1989
462,1510,2,0.0,0.0,3,1985
463,2390,2,0.0,0.0,3,1988
464,980,1,0.0,0.0,3,1953
466,1480,1,0.0,0.0,3,1954
467,1850,2,0.0,0.0,3,1997
468,2270,1,0.0,0.0,4,1947
469,1810,2,0.0,0.0,3,1993
470,1610,2,0.0,0.0,3,1930
471,3840,2,0.0,0.0,3,2000
474,3390,2,0.0,0.0,3,2011
475,1890,2,0.0,0.0,3,2003
477,1050,1,0.0,0.0,3,1949
478,630,1,0.0,0.0,3,1918
480,1700,1,0.0,0.0,3,1955
481,1950,2,0.0,0.0,4,1990
482,2990,2,0.0,0.0,4,1973
485,2160,1,0.0,0.0,4,1978
487,890,1,0.0,0.0,3,1917
488,2810,2,0.0,0.0,3,2002
490,1580,1,0.0,0.0,4,1963
491,1680,1,0.0,1.0,4,1987
492,1300,1,0.0,0.0,5,1968
493,2820,2,0.0,0.0,4,1960
494,1510,1,0.0,0.0,3,1972
495,1230,2,0.0,0.0,3,2004
496,2110,2,0.0,0.0,3,1925
498,1490,1,0.0,0.0,4,1900
499,2120,2,0.0,0.0,3,2000
500,3180,2,0.0,0.0,3,2003
501,1490,1,0.0,0.0,3,1929
502,1930,1,0.0,0.0,4,1966
504,1670,1,0.0,0.0,4,1963
505,1330,1,0.0,0.0,3,1993
506,1210,1,0.0,0.0,4,1924
507,1190,1,0.0,0.0,4,1941
508,1540,1,0.0,0.0,4,1946
510,2430,1,0.0,0.0,4,1981
511,2600,2,0.0,0.0,3,2005
513,1330,1,0.0,0.0,3,1949
514,1900,1,0.0,0.0,5,1951
515,1100,1,0.0,0.0,4,1950
516,1980,1,0.0,0.0,3,1932
517,2400,2,0.0,0.0,3,2001
520,1190,1,0.0,0.0,5,1958
521,630,1,0.0,0.0,3,1943
522,2530,1,0.0,0.0,3,2005
523,1690,1,0.0,0.0,4,1930
524,940,1,0.0,0.0,3,1951
525,1240,1,0.0,0.0,4,1952
526,3040,2,0.0,0.0,3,2003
528,1590,1,0.0,0.0,3,1944
529,2500,1,0.0,0.0,3,1984
530,1780,1,0.0,0.0,3,1978
531,1360,2,0.0,0.0,3,1978
533,1010,1,0.0,0.0,4,1962
534,1040,1,0.0,0.0,4,1971
535,1610,2,0.0,0.0,4,1985
536,1570,1,0.0,0.0,3,1979
537,1510,1,0.0,0.0,4,1900
538,1360,1,0.0,0.0,3,1994
539,1970,2,0.0,0.0,3,1999
541,1560,2,0.0,0.0,3,2003
542,2320,1,0.0,0.0,4,1973
543,2120,1,0.0,0.0,3,1967
544,2120,2,0.0,0.0,4,1983
545,3350,2,0.0,0.0,3,1988
546,2380,2,0.0,0.0,4,1991
547,1070,2,0.0,0.0,3,2008
548,2300,1,0.0,0.0,4,1979
549,1320,1,0.0,0.0,4,1943
552,1790,2,0.0,0.0,3,1949
553,750,1,0.0,0.0,4,1943
554,1300,1,0.0,0.0,5,1956
557,1400,1,0.0,0.0,3,1959
558,2750,2,0.0,0.0,4,1973
559,2050,2,0.0,0.0,3,1998
560,2230,1,0.0,0.0,3,1978
562,2870,2,0.0,0.0,3,2014
563,4120,2,0.0,0.0,3,1997
564,2080,1,0.0,0.0,3,1960
565,1840,2,0.0,0.0,3,2008
566,1180,1,0.0,0.0,4,1959
567,2160,1,0.0,0.0,5,1927
568,1180,1,0.0,0.0,3,1907
569,1160,1,0.0,0.0,4,1937
570,1830,2,0.0,0.0,3,2003
571,3200,2,0.0,0.0,3,2004
572,2560,1,0.0,0.0,4,1927
573,2550,1,0.0,0.0,5,1902
574,1330,1,0.0,0.0,3,1981
576,1805,2,0.0,0.0,3,2009
578,2320,2,0.0,0.0,3,2004
579,1384,1,0.0,0.0,4,1965
580,2720,2,0.0,0.0,3,2005
581,1820,1,0.0,0.0,4,1962
583,2060,2,0.0,0.0,3,1975
584,1420,1,0.0,0.0,4,1981
586,2160,1,0.0,0.0,3,1903
587,3180,2,0.0,0.0,4,1978
588,2110,2,0.0,0.0,4,1985
589,2060,1,0.0,0.0,5,1931
591,1820,1,0.0,0.0,4,1966
592,1610,2,0.0,0.0,3,2006
593,1780,2,0.0,0.0,3,2006
594,1840,2,0.0,0.0,3,1996
595,1460,1,0.0,0.0,3,1997
596,1400,2,0.0,0.0,3,2007
598,3590,2,0.0,0.0,3,1997
600,1670,1,0.0,0.0,3,2004
601,2420,1,0.0,0.0,3,1984
602,1430,2,0.0,0.0,3,1994
603,1440,1,0.0,0.0,3,1980
604,1450,2,0.0,0.0,3,1985
605,3550,1,0.0,0.0,5,1966
606,1270,2,0.0,0.0,3,2000
607,940,1,0.0,0.0,3,1949
608,1670,1,0.0,0.0,3,1990
609,3100,2,0.0,0.0,3,1996
610,1100,3,0.0,0.0,3,1997
611,1870,1,0.0,0.0,4,1925
612,1930,2,0.0,0.0,4,1990
613,2540,2,0.0,0.0,3,2005
614,1280,1,0.0,0.0,4,1988
615,1820,1,0.0,0.0,3,1967
616,1490,2,0.0,0.0,3,1981
617,1880,2,0.0,0.0,3,1988
619,1440,1,0.0,0.0,3,1983
620,1920,2,0.0,0.0,3,1989
621,2060,1,0.0,0.0,3,1976
622,1210,1,0.0,0.0,4,1958
623,1760,1,0.0,0.0,4,1927
624,990,1,0.0,0.0,4,1947
625,960,1,0.0,0.0,4,1944
626,1660,3,0.0,0.0,3,2014
627,1900,1,0.0,1.0,4,1941
628,1270,1,0.0,0.0,3,1970
629,3250,2,0.0,0.0,4,1983
630,960,1,0.0,0.0,5,1982
631,1330,1,0.0,0.0,4,1914
632,2080,1,0.0,0.0,5,1968
634,890,1,0.0,0.0,3,1910
635,1070,1,0.0,0.0,3,1977
636,1200,1,0.0,0.0,4,1953
637,1360,2,0.0,0.0,5,1949
638,2050,1,0.0,0.0,3,1993
639,3000,2,0.0,0.0,5,1924
640,1300,1,0.0,0.0,3,1963
641,2250,1,0.0,0.0,3,1982
643,1660,3,0.0,1.0,3,2015
644,2360,2,0.0,0.0,3,2003
645,1760,1,0.0,0.0,3,1987
646,1680,1,0.0,0.0,3,1916
647,1320,1,0.0,0.0,3,1918
648,870,1,0.0,0.0,3,1939
649,1260,1,0.0,0.0,3,1925
650,1000,1,0.0,0.0,3,1944
651,2020,1,0.0,0.0,4,1976
653,2150,1,0.0,0.0,4,1911
654,1470,2,0.0,0.0,3,1999
657,990,1,0.0,0.0,3,1943
658,2770,2,0.0,0.0,3,2001
659,1250,1,0.0,0.0,4,1953
661,2250,1,0.0,0.0,3,1967
662,1640,2,0.0,0.0,3,1969
663,1255,3,0.0,0.0,3,2004
664,1290,1,0.0,0.0,3,1976
665,1300,1,0.0,0.0,3,1986
666,1220,3,0.0,0.0,3,2007
667,2630,3,0.0,0.0,3,2002
668,1950,1,0.0,0.0,4,1959
670,1550,1,0.0,0.0,4,1949
671,1700,1,0.0,0.0,4,1940
672,2510,1,0.0,0.0,5,1978
674,1800,1,0.0,0.0,3,1968
675,1870,1,0.0,0.0,3,1975
677,1120,1,0.0,0.0,3,1924
680,1440,1,0.0,0.0,4,1981
682,3190,2,0.0,0.0,3,2006
683,2380,2,0.0,0.0,4,1995
684,1420,1,0.0,0.0,3,1930
685,2990,2,0.0,0.0,3,2014
686,2680,2,0.0,0.0,3,1990
687,2730,2,0.0,0.0,3,2006
688,1220,1,0.0,0.0,3,1946
689,1500,1,0.0,0.0,3,1967
690,1830,1,0.0,1.0,3,1958
692,2470,2,0.0,0.0,3,1983
693,800,1,0.0,0.0,3,1927
694,2900,2,0.0,0.0,3,1992
695,1410,1,0.0,0.0,3,1985
696,2830,1,0.0,1.0,5,1979
697,1680,1,0.0,0.0,3,1977
698,1760,1,0.0,0.0,3,1979
699,2240,2,0.0,0.0,3,1976
701,820,1,0.0,0.0,3,1953
702,2180,1,0.0,0.0,2,1950
703,1400,1,0.0,0.0,3,1900
704,880,1,0.0,0.0,3,1928
706,1530,1,0.0,0.0,4,1984
708,1490,1,0.0,0.0,5,1967
710,2340,2,0.0,0.0,3,1993
711,1450,1,0.0,0.0,4,1981
712,2210,2,0.0,0.0,3,1990
713,1130,1,0.0,0.0,4,1969
714,1550,1,0.0,0.0,3,1961
715,1710,1,0.0,0.0,5,1968
716,1010,1,0.0,0.0,5,1954
717,2660,2,0.0,0.0,3,1937
718,2660,2,0.0,0.0,3,1937
719,1300,1,0.0,0.0,3,1994
720,1670,2,0.0,0.0,3,2002
721,960,1,0.0,0.0,5,1911
723,2140,2,0.0,0.0,3,2007
724,2520,1,0.0,0.0,3,2004
725,1650,1,0.0,0.0,5,1978
726,1440,1,0.0,0.0,4,1978
727,1050,1,0.0,0.0,3,1950
728,1470,1,0.0,0.0,3,1983
732,2090,2,0.0,0.0,3,2012
733,2380,2,0.0,0.0,4,1934
734,2156,2,0.0,0.0,3,2012
735,2070,2,0.0,0.0,4,1986
736,1910,1,0.0,0.0,4,1951
737,1920,1,0.0,0.0,4,1977
739,1400,1,0.0,0.0,3,1974
740,2210,2,0.0,0.0,3,1997
741,1170,1,0.0,0.0,3,1929
742,2100,1,0.0,0.0,4,1995
743,1160,1,0.0,0.0,3,1967
744,1500,1,0.0,0.0,3,1925
745,2940,2,0.0,0.0,3,2000
746,2010,1,0.0,1.0,4,1963
747,2170,2,0.0,0.0,3,2003
749,1510,1,0.0,0.0,3,1970
750,1150,1,0.0,0.0,3,1952
752,1370,1,0.0,0.0,5,1944
753,2380,1,0.0,0.0,3,2010
754,1370,1,0.0,0.0,5,1911
755,1600,1,0.0,0.0,3,1979
758,2400,1,0.0,0.0,4,1964
759,2830,2,0.0,0.0,4,1918
760,2440,2,0.0,0.0,3,1996
761,1190,2,0.0,0.0,3,2008
763,2730,2,0.0,0.0,3,2005
764,2390,1,0.0,0.0,5,1983
765,2060,2,0.0,0.0,3,1984
766,2490,1,0.0,0.0,4,1961
767,1100,1,0.0,0.0,5,1984
768,2430,1,0.0,0.0,5,1965
769,3170,2,0.0,0.0,3,1995
770,2640,2,0.0,0.0,3,1987
771,1130,1,0.0,0.0,4,1961
772,1940,1,0.0,0.0,3,1957
773,1100,1,0.0,0.0,3,1912
774,1200,1,0.0,0.0,4,1955
775,2000,1,0.0,0.0,4,1963
776,1890,2,0.0,0.0,3,2002
777,1910,1,0.0,0.0,3,1910
778,2710,2,0.0,0.0,3,1998
780,1250,1,0.0,0.0,5,1967
781,1590,1,0.0,0.0,5,1938
782,1240,2,0.0,0.0,3,2009
783,2000,2,0.0,0.0,4,1911
784,3610,1,0.0,0.0,4,1966
785,1930,1,0.0,0.0,4,1966
786,1280,1,0.0,0.0,3,1964
787,2090,1,0.0,0.0,4,1984
788,1940,1,0.0,0.0,4,1969
789,1800,2,0.0,0.0,4,1990
790,1730,1,0.0,0.0,4,1980
791,2810,2,0.0,0.0,3,1982
793,1330,1,0.0,0.0,3,1952
794,750,1,0.0,0.0,3,1950
795,1760,1,0.0,0.0,3,1947
796,3200,2,0.0,0.0,3,1993
797,1740,1,0.0,0.0,5,1958
798,2100,2,0.0,0.0,3,1999
800,1340,1,0.0,0.0,3,1913
802,1630,2,0.0,0.0,3,1987
803,2990,2,0.0,0.0,3,2007
804,1550,1,0.0,0.0,3,1954
805,1690,2,0.0,0.0,3,1989
806,1960,2,0.0,0.0,3,1989
807,2390,1,0.0,0.0,5,1977
808,2600,2,0.0,0.0,3,2004
809,1950,1,0.0,0.0,3,1999
810,1250,1,0.0,0.0,4,1964
811,1180,2,0.0,0.0,3,2008
812,1680,2,0.0,0.0,3,2004
813,2220,2,0.0,0.0,3,1989
815,2660,2,0.0,0.0,3,2014
816,1150,2,0.0,0.0,3,1988
817,1130,1,0.0,0.0,4,1941
818,2760,2,0.0,0.0,3,2005
819,1430,1,0.0,0.0,3,1992
821,2030,2,0.0,0.0,3,2004
823,1810,1,0.0,0.0,4,1954
824,1810,1,0.0,0.0,4,1954
825,970,1,0.0,0.0,3,1968
826,2010,1,0.0,0.0,5,1926
827,1300,1,0.0,0.0,3,1947
828,1260,1,0.0,0.0,3,1959
829,2610,2,0.0,0.0,3,1983
831,1780,2,0.0,0.0,4,1987
